,GWA Title,m1_pred,m2_pred,m3_pred,m4_pred
20409,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20410,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
20411,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
20412,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Repairing and Maintaining Mechanical Equipment,Handling and Moving Objects,Handling and Moving Objects
20413,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities
20414,"Communicating with Supervisors, Peers, or Subordinates",Performing General Physical Activities,Performing General Physical Activities,"Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities
20415,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20416,Performing General Physical Activities,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20417,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes
20418,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Controlling Machines and Processes,Performing General Physical Activities,Controlling Machines and Processes
20419,"Identifying Objects, Actions, and Events",Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20420,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20421,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20422,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20423,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20424,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively,Thinking Creatively
20425,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20426,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20427,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
20428,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20429,Handling and Moving Objects,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Making Decisions and Solving Problems
20430,Handling and Moving Objects,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Estimating the Quantifiable Characteristics of Products, Events, or Information",Controlling Machines and Processes
20431,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Working with Computers
20432,"Organizing, Planning, and Prioritizing Work","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates","Guiding, Directing, and Motivating Subordinates"
20433,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20434,Thinking Creatively,Thinking Creatively,Thinking Creatively,Handling and Moving Objects,Thinking Creatively
20435,Handling and Moving Objects,Thinking Creatively,Thinking Creatively,Handling and Moving Objects,Thinking Creatively
20436,Handling and Moving Objects,Performing General Physical Activities,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20437,Thinking Creatively,Making Decisions and Solving Problems,Making Decisions and Solving Problems,Thinking Creatively,Thinking Creatively
20438,Handling and Moving Objects,Handling and Moving Objects,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
20439,Handling and Moving Objects,Thinking Creatively,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects
20440,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20441,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
20442,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Performing General Physical Activities
20443,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20444,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20445,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20446,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials"
20447,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes,Controlling Machines and Processes
20448,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information,Documenting/Recording Information
20449,Controlling Machines and Processes,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects,Handling and Moving Objects
20450,Handling and Moving Objects,"Inspecting Equipment, Structures, or Materials","Inspecting Equipment, Structures, or Materials","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings"
20451,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities
20452,Controlling Machines and Processes,"Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings","Monitoring Processes, Materials, or Surroundings",Performing General Physical Activities
20453,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
20454,Handling and Moving Objects,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities,Performing General Physical Activities
